,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,VIVT3.SA,MULT3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,USIM5.SA,LREN3.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,PETR4.SA,B3SA3.SA,SLCE3.SA,BBDC4.SA,SUZB3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,BEEF3.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,BRAP4.SA,CPFE3.SA,GOLL4.SA,SANB11.SA,ALOS3.SA,RAIZ4.SA,DIRR3.SA,YDUQ3.SA,BPAC11.SA,SMTO3.SA,EQTL3.SA,ENEV3.SA,ELET6.SA,MRVE3.SA,ELET3.SA,MDIA3.SA,SBSP3.SA,TOTS3.SA,EMBR3.SA,FLRY3.SA,NTCO3.SA
2023-05-29,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1784,0.0000,0.0000,0.0000,,0.0368,0.0000,,,0.3046,0.0000,0.0000,0.0000,0.0712,0.0000,0.1765,0.0000,0.0000,,0.0396,0.0000,,,0.0000,0.0000,0.0000,0.0571,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0948,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-06-05,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1716,0.0000,0.0000,,,0.0384,0.0000,,,0.3199,0.0000,0.0000,,0.0696,0.0000,0.1779,0.0000,0.0000,,0.0292,0.0000,,,0.0000,0.0000,0.0000,0.0620,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0841,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-06-12,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1701,0.0000,0.0000,,,0.0508,0.0000,,,0.3195,0.0000,0.0000,,0.0887,0.0000,0.1829,0.0000,0.0000,,0.0611,0.0000,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0819,0.0000,0.0000,0.0000,0.0000,0.0451,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-06-19,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1605,0.0000,0.0000,,,0.0423,0.0000,,,0.3253,0.0000,0.0000,,0.0899,0.0000,0.1862,0.0035,0.0000,,0.0724,0.0000,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0769,0.0000,0.0000,0.0000,0.0000,0.0431,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-06-26,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1539,0.0000,0.0000,,,0.0251,0.0000,,,0.3260,0.0000,0.0144,,0.0947,0.0000,0.1828,0.0030,0.0000,,0.0805,0.0000,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0792,,0.0000,0.0000,0.0000,0.0404,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-07-03,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1583,0.0000,0.0000,,,0.0239,0.0000,,,0.3216,0.0000,0.0163,,0.0934,0.0000,0.1807,0.0000,0.0000,,0.0729,0.0000,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0872,,0.0000,0.0000,0.0000,0.0457,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-07-10,0.0000,0.0000,0.0006,0.0000,0.0000,,0.0000,0.1636,0.0000,0.0000,,,0.0215,0.0000,,,0.3074,0.0000,0.0157,,0.0979,0.0000,0.1827,0.0013,0.0000,,0.0704,0.0000,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0941,,0.0000,0.0000,0.0000,0.0449,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-07-17,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1535,0.0000,0.0000,,,0.0118,0.0000,,,0.3156,0.0000,0.0173,,0.0831,0.0000,0.1759,0.0000,0.0000,,0.0435,0.0000,,,0.0000,0.0000,0.0000,0.0502,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0020,0.0988,0.0000,0.0000,0.0000,0.0000,0.0482,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-07-24,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.1530,0.0000,0.0000,,,0.0111,0.0000,,,0.3103,0.0000,0.0165,,0.0851,0.0000,0.1758,0.0000,0.0000,,0.0524,0.0000,,,0.0000,0.0000,0.0000,0.0493,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0033,0.0954,0.0000,0.0000,0.0000,0.0000,0.0478,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-07-31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0138,0.0000,0.1480,0.0000,0.0000,,0.0000,0.0039,0.0000,,,0.3003,0.0000,0.0204,,0.0869,0.0000,0.1791,0.0000,0.0000,,0.0559,0.0000,,,0.0000,0.0000,0.0000,0.0465,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0058,0.0922,0.0000,0.0000,0.0000,0.0000,0.0471,0.0000,0.0000,0.0000,,,,,,,,,,,
