,n_posicoes
2023-03-20,23
2023-03-27,20
2023-04-03,23
2023-04-10,28
2023-04-17,23
2023-04-24,28
2023-05-02,25
2023-05-08,27
2023-05-15,39
2023-05-22,34
2023-05-29,27
2023-06-05,35
2023-06-12,28
2023-06-19,26
2023-06-26,29
2023-07-03,29
2023-07-10,26
2023-07-17,29
2023-07-24,30
2023-07-31,29
2023-08-07,32
2023-08-14,41
2023-08-21,27
2023-08-28,34
2023-09-04,33
2023-09-11,31
2023-09-18,32
2023-09-25,38
2023-10-02,30
2023-10-09,29
2023-10-16,28
2023-10-23,34
2023-10-30,38
2023-11-06,23
2023-11-13,35
2023-11-20,32
2023-11-27,39
2023-12-04,34
2023-12-11,32
2023-12-18,40
2023-12-26,35
2024-01-02,27
2024-01-08,29
2024-01-15,35
2024-01-22,35
2024-01-29,34
2024-02-05,29
2024-02-14,36
2024-02-19,37
2024-02-26,31
2024-03-04,35
2024-03-11,37
2024-03-18,25
2024-03-25,35
