,n_posicoes
2023-03-20,30
2023-03-27,31
2023-04-03,32
2023-04-10,25
2023-04-17,36
2023-04-24,38
2023-05-02,29
2023-05-08,28
2023-05-15,34
2023-05-22,32
2023-05-29,33
2023-06-05,29
2023-06-12,29
2023-06-19,29
2023-06-26,32
2023-07-03,30
2023-07-10,36
2023-07-17,35
2023-07-24,32
2023-07-31,29
2023-08-07,34
2023-08-14,41
2023-08-21,39
2023-08-28,42
2023-09-04,37
2023-09-11,37
2023-09-18,40
2023-09-25,31
2023-10-02,34
2023-10-09,39
2023-10-16,41
2023-10-23,36
2023-10-30,41
2023-11-06,34
2023-11-13,36
2023-11-20,41
2023-11-27,37
2023-12-04,35
2023-12-11,34
2023-12-18,32
2023-12-26,34
2024-01-02,38
2024-01-08,45
2024-01-15,40
2024-01-22,44
2024-01-29,33
2024-02-05,45
2024-02-14,40
2024-02-19,36
2024-02-26,36
2024-03-04,33
2024-03-11,36
2024-03-18,32
2024-03-25,35
