,retorno
2023-03-20,-0.0172
2023-03-27,0.0141
2023-04-03,0.0015
2023-04-10,0.0380
2023-04-17,-0.0340
2023-04-24,-0.0156
2023-05-02,0.0506
2023-05-08,0.0180
2023-05-15,0.0069
2023-05-22,0.0087
2023-05-29,0.0215
2023-06-05,0.0664
2023-06-12,0.0236
2023-06-19,-0.0062
2023-06-26,0.0017
2023-07-03,-0.0177
2023-07-10,-0.0017
2023-07-17,0.0206
2023-07-24,0.0052
2023-07-31,-0.0294
2023-08-07,-0.0107
2023-08-14,-0.0044
2023-08-21,0.0239
2023-08-28,0.0042
2023-09-04,0.0019
2023-09-11,0.0166
2023-09-18,-0.0191
2023-09-25,-0.0069
2023-10-02,0.0100
2023-10-09,0.0247
2023-10-16,-0.0332
2023-10-23,-0.0008
2023-10-30,0.0386
2023-11-06,0.0136
2023-11-13,0.0369
2023-11-20,-0.0025
2023-11-27,0.0064
2023-12-04,0.0008
2023-12-11,0.0362
2023-12-18,0.0256
2023-12-26,0.0013
2024-01-02,0.0005
2024-01-08,-0.0107
2024-01-15,-0.0307
2024-01-22,0.0268
2024-01-29,0.0028
2024-02-05,-0.0135
2024-02-14,0.0264
2024-02-19,-0.0004
2024-02-26,-0.0234
2024-03-04,-0.0335
2024-03-11,0.0051
2024-03-18,-0.0034
2024-03-25,0.0099
