date,ABEV3.SA,ALOS3.SA,ALPA4.SA,AZUL4.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BHIA3.SA,BOVA11.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRAX11.SA,BRFS3.SA,BRKM5.SA,CASH3.SA,CBAV3.SA,CCRO3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DIRR3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GMAT3.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,LWSA3.SA,MDIA3.SA,MGLU3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,PSSA3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SIMH3.SA,SLCE3.SA,SMTO3.SA,STBP3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2020-06-12,29778900,2556200,1256800,42521400,547200,51996957,28797800,10595728,89793858,5764500,11718600,3920747,15687630,15121200,2972100,,4730,13030600,8413500,,,10626200,35135849,,71127900,3416400,8929000,11096900,1904200,12977800,9978900,10320200,1829038,3106796,4801700,2021700,4911900,2590300,23044900,10270000,2141000,10071700,3046800,3282333,23313284,,20024800,26244200,3145400,3606200,,69124100,1777300,60059909,59624400,21849600,11269829,13037067,1131700,1290500,17041700,4264500,13321100,5508000,10429700,10475900,1615800,26514800,116746700,,5442000,1468700,4360600,1781400,8747100,,,,10876000,7185100,4022400,1919700,4362050,1137200,5088300,11140000,3516500,9818500,5459080,9237200,29921300,31223700,,14303700,195400,5704600,5575300
2020-06-15,22901600,1510400,1255600,53317900,442100,34738536,33361200,8028713,81559324,4961200,8938800,5263525,18428930,15790000,1505500,,4980,11391300,3072600,,,6795200,33414173,,68824000,2727000,6424000,6463600,1487800,11475100,9502900,6711800,1062177,2830795,3891800,1637100,4162000,3479700,16914700,7680800,1341000,8726400,1688400,1831731,21603968,,16215100,30908800,2477400,2730200,,78559900,1063300,38158805,41154410,15136300,8811109,12823872,881900,1212200,14602800,5499800,10585200,4109800,5617700,7617100,1712500,21227100,99931000,,5135700,906200,2021400,1506700,6869400,,,,8155000,4285600,3404800,1401300,6332656,996400,4732000,13778300,1784800,9793500,4225256,9237700,29470200,27425600,,10266900,194400,3985600,4332000
2020-06-16,35974500,1527000,1838900,41823300,282800,27741629,23068800,6620515,63720657,5483300,14219400,6342526,12224860,11170000,1581600,,8400,12139100,2499600,,,9408700,37359943,,54258900,3220100,13039000,6538800,1855400,14711200,8656600,9289400,1287104,3566354,5778800,1708800,2993700,2334300,18760500,6830800,1343400,7665100,5076700,2757724,45638350,,20415300,29744800,2200800,2688500,,62710700,1236400,28469535,41812320,14905600,6702300,8673652,1258000,1233900,15534200,5031400,16378200,5338000,3824800,5748700,982500,22219100,94510600,,5270300,840800,3689500,1493000,7744000,,,,6922500,3893600,4084900,1780700,5226716,850700,4005300,7366100,2151500,13787300,4474065,11655800,20664100,29329400,,8826300,159400,4480600,5084100
2020-06-17,28230900,1616700,2163800,26249100,677600,52318555,18835400,8627542,65846627,7651800,13170100,6751000,10722010,12444000,2117500,,2260,7661400,2004300,,,12706300,26301469,,46420600,2418800,7487000,4936600,1728700,9609600,6580500,10845100,2713483,7579682,6956200,1890400,13675500,6435300,11651100,7517200,1152900,7337800,3541600,2591550,17010510,,17858100,17123000,2802100,3403900,,35334500,1512000,34527801,39371310,33344600,4745840,8370447,816200,847500,19249000,2912400,13179300,8870600,6309800,7024500,951600,13697000,63268700,,2385600,418500,5257600,1237200,15545400,,,,9348300,5818300,6224200,1447600,5228168,1106400,3631800,4628900,2744700,10753200,6851893,9265900,17950800,27840000,,11811800,194400,4723300,3776600
2020-06-18,26864700,1373200,2450500,18272000,1169600,25871727,18813900,8119342,66061281,4571100,8949800,3745125,9706410,18649200,2295800,,890,5689000,1559500,,,14196500,20071967,,33852600,3195200,6712000,4185900,1520600,11779100,5369100,17407500,2894027,3884463,9213900,1356300,4795600,3087300,10671900,5004800,1363000,10339200,3818300,2700247,24921927,,13332300,11298300,1967700,4741200,,33573900,1138000,38854308,59368650,22074000,7073880,7555478,1325000,1193000,19405200,2244600,14813800,6609300,7774900,9534500,1271300,10305800,56893300,,3552800,1136900,4778800,1564700,6528700,,,,4229300,3536500,5504700,1090200,4921070,2499800,2869900,8076200,3078000,5479300,7436025,7419400,15977600,25770000,,12538100,169400,2617800,3248100
2020-06-19,33053900,1568500,2517600,20481100,1206700,41953844,20121000,15603918,89256255,10326200,12895500,4230219,12980500,33691600,2833100,,2390,7424100,2986400,,,18031200,23826461,,41600100,3074800,12886000,8652400,2096600,16261500,6762300,12191800,3625743,7563226,14281500,3878300,8813800,4025700,9759500,30015600,5133300,11556400,3061300,5527113,40786844,,26991800,12418200,7133400,6524200,,27360800,2929200,52323185,68300870,12948100,21200518,11628739,5204800,1058500,19977100,2593700,17372800,6827500,5940100,13950300,2736000,24275800,91139800,,4657000,1554000,6190500,2254800,13622400,,,,12599400,6452000,6334600,4210700,3814162,1752500,13861800,17595700,3655600,9339800,8496224,11845100,37731800,38079900,,14279500,365600,8281100,4664400
2020-06-22,24655600,1587500,1399600,20248500,1062000,22314923,15049200,9826652,45392424,6697800,9249300,2385268,8425380,30803600,1927700,,850,5244500,4100500,,,6291200,17850031,,70279500,1420800,4742000,4146900,727400,8392100,4170600,7316800,3063927,2886213,3742200,1445500,4020000,1821900,12350700,9206400,1001200,4094700,2735400,2621031,16325826,,12241500,10926200,1886000,2261000,,86141000,1243100,42438429,32212620,14955000,5921190,6466942,811500,609900,9261000,1509000,9224400,7292000,3376800,4733900,1597300,8866000,45419000,,1975500,1069100,6987400,2696000,4586300,,,,4768300,2605500,6271700,1033600,3324354,1508500,3430600,5322700,2075900,4517700,3882215,5031200,17199700,14891400,,7344700,188000,2957100,3705400
2020-06-23,16139100,1089300,1313200,34465600,1191900,40453242,16131600,7404232,44536712,5087100,5160600,2155634,8226990,30649200,1706200,,1680,4682900,2051700,,,4794700,11508707,,80831100,4176300,11890000,4223900,948400,9184600,5836900,5695200,2282105,3671140,4453700,1768000,3353700,1680900,9439200,4072800,1171600,5365800,3242900,5601345,24524019,,17563300,17208900,2388300,5769800,,98684300,1340700,37347191,65566050,10374800,9382229,10955371,992400,1301000,7313600,1451700,9929500,3904400,4328100,6858900,1336900,13268400,78950900,,3408400,597000,6563700,1422100,5886500,,,,4101600,4953500,4946500,1882300,2256408,1845200,2900400,5466500,2451400,8055500,3903066,6397000,55312500,18272700,,9340200,144200,3226000,4189500
2020-06-24,16196400,869800,2095200,27034200,699500,36174338,24257300,7361035,55327613,4330600,7398400,3372709,9841040,17316800,1563300,,3350,5970000,3132000,,,5650700,15778762,,71650500,2896200,8899000,3308100,1064400,7394800,4731400,7169400,1832653,2176064,3182400,1623300,2626500,1639300,14029100,4614000,775300,10292000,1641100,2298333,30946619,,15563700,19611100,1527000,2476000,,56784700,1413300,40077701,63100730,12881500,7489570,7794773,901600,809700,10636100,1987500,10305800,3878900,6033400,5368800,975900,10911200,65162400,,4223500,464600,3007700,954700,8385800,,,,5925400,7274600,5062500,1189200,2889238,905900,2670600,4710000,3573800,8071700,3358230,4067600,27065200,18156600,,8167900,161600,3621500,3064200
2020-06-25,24934100,1028500,1732400,27102000,788300,32063433,18818300,5984418,49717932,3727200,4186900,2626386,8739510,12708000,1152100,,37590,4011600,5076600,,,15256500,13840699,,49113500,2700300,6867000,3869300,679800,8263400,6410200,6517300,1643875,2668050,5098900,1663600,4274100,2192600,12589200,5612000,878800,5392700,1433000,1256220,12971705,,11874800,30142300,1490700,1785900,,51563200,927800,34048461,51012610,9226100,7958389,8473752,2259600,1256400,7876500,1555700,5878100,2692300,9386100,5545300,1128400,11952600,47263500,,4022800,496500,2770600,1143400,5073300,,,,3984000,6119600,9443900,958700,3109216,920300,2640700,4492900,3033500,5686900,3135785,7023500,17238100,17051900,,16929700,172400,7737200,2792400
