,retorno
2023-03-20,-0.0183
2023-03-27,0.0166
2023-04-03,0.0038
2023-04-10,0.0369
2023-04-17,-0.0326
2023-04-24,-0.0148
2023-05-02,0.0514
2023-05-08,0.0176
2023-05-15,0.0086
2023-05-22,0.0101
2023-05-29,0.0200
2023-06-05,0.0615
2023-06-12,0.0196
2023-06-19,-0.0052
2023-06-26,0.0064
2023-07-03,-0.0187
2023-07-10,0.0001
2023-07-17,0.0210
2023-07-24,0.0031
2023-07-31,-0.0261
2023-08-07,-0.0132
2023-08-14,-0.0082
2023-08-21,0.0224
2023-08-28,0.0031
2023-09-04,-0.0001
2023-09-11,0.0147
2023-09-18,-0.0201
2023-09-25,-0.0073
2023-10-02,0.0101
2023-10-09,0.0208
2023-10-16,-0.0309
2023-10-23,-0.0019
2023-10-30,0.0416
2023-11-06,0.0145
2023-11-13,0.0384
2023-11-20,-0.0016
2023-11-27,0.0084
2023-12-04,0.0031
2023-12-11,0.0345
2023-12-18,0.0219
2023-12-26,-0.0021
2024-01-02,-0.0006
2024-01-08,-0.0064
2024-01-15,-0.0318
2024-01-22,0.0203
2024-01-29,0.0020
2024-02-05,-0.0095
2024-02-14,0.0201
2024-02-19,0.0019
2024-02-26,-0.0223
2024-03-04,-0.0260
2024-03-11,0.0008
2024-03-18,-0.0056
2024-03-25,0.0089
