,retorno
2023-03-20,-0.0186
2023-03-27,0.0186
2023-04-03,0.0010
2023-04-10,0.0394
2023-04-17,-0.0325
2023-04-24,-0.0097
2023-05-02,0.0645
2023-05-08,0.0232
2023-05-15,0.0343
2023-05-22,0.0064
2023-05-29,0.0262
2023-06-05,0.0409
2023-06-12,0.0203
2023-06-19,-0.0107
2023-06-26,0.0109
2023-07-03,-0.0030
2023-07-10,-0.0078
2023-07-17,0.0225
2023-07-24,0.0074
2023-07-31,-0.0087
2023-08-07,-0.0215
2023-08-14,-0.0332
2023-08-21,0.0067
2023-08-28,-0.0003
2023-09-04,-0.0162
2023-09-11,0.0048
2023-09-18,-0.0334
2023-09-25,-0.0133
2023-10-02,-0.0152
2023-10-09,0.0094
2023-10-16,-0.0289
2023-10-23,-0.0197
2023-10-30,0.0653
2023-11-06,0.0164
2023-11-13,0.0551
2023-11-20,-0.0163
2023-11-27,0.0156
2023-12-04,0.0149
2023-12-11,0.0316
2023-12-18,0.0228
2023-12-26,-0.0148
2024-01-02,0.0024
2024-01-08,-0.0056
2024-01-15,-0.0431
2024-01-22,0.0026
2024-01-29,-0.0124
2024-02-05,-0.0056
2024-02-14,0.0173
2024-02-19,0.0105
2024-02-26,0.0019
2024-03-04,-0.0071
2024-03-11,-0.0070
2024-03-18,-0.0046
2024-03-25,-0.0021
