,retorno
2023-03-20,-0.0042
2023-03-27,-0.0174
2023-04-03,0.0061
2023-04-10,0.0368
2023-04-17,-0.0067
2023-04-24,-0.0073
2023-05-02,0.0290
2023-05-08,0.0221
2023-05-15,-0.0061
2023-05-22,0.0119
2023-05-29,-0.0074
2023-06-05,0.0305
2023-06-12,0.0083
2023-06-19,-0.0079
2023-06-26,0.0078
2023-07-03,-0.0069
2023-07-10,-0.0067
2023-07-17,0.0193
2023-07-24,0.0016
2023-07-31,0.0125
2023-08-07,-0.0216
2023-08-14,-0.0137
2023-08-21,0.0087
2023-08-28,0.0063
2023-09-04,-0.0074
2023-09-11,0.0145
2023-09-18,0.0003
2023-09-25,-0.0097
2023-10-02,-0.0042
2023-10-09,-0.0019
2023-10-16,-0.0235
2023-10-23,-0.0218
2023-10-30,0.0397
2023-11-06,0.0131
2023-11-13,0.0122
2023-11-20,-0.0012
2023-11-27,-0.0030
2023-12-04,0.0042
2023-12-11,0.0269
2023-12-18,0.0237
2023-12-26,-0.0032
2024-01-02,-0.0063
2024-01-08,-0.0039
2024-01-15,-0.0182
2024-01-22,-0.0027
2024-01-29,0.0010
2024-02-05,-0.0085
2024-02-14,0.0039
2024-02-19,0.0178
2024-02-26,-0.0001
2024-03-04,0.0053
2024-03-11,0.0065
2024-03-18,-0.0037
2024-03-25,0.0217
