,n_posicoes
2023-03-20,19
2023-03-27,23
2023-04-03,20
2023-04-10,22
2023-04-17,30
2023-04-24,21
2023-05-02,22
2023-05-08,23
2023-05-15,25
2023-05-22,22
2023-05-29,23
2023-06-05,23
2023-06-12,22
2023-06-19,15
2023-06-26,20
2023-07-03,22
2023-07-10,20
2023-07-17,21
2023-07-24,21
2023-07-31,21
2023-08-07,20
2023-08-14,20
2023-08-21,21
2023-08-28,21
2023-09-04,27
2023-09-11,25
2023-09-18,20
2023-09-25,24
2023-10-02,22
2023-10-09,24
2023-10-16,24
2023-10-23,23
2023-10-30,23
2023-11-06,25
2023-11-13,29
2023-11-20,26
2023-11-27,29
2023-12-04,23
2023-12-11,29
2023-12-18,30
2023-12-26,20
2024-01-02,25
2024-01-08,20
2024-01-15,28
2024-01-22,23
2024-01-29,20
2024-02-05,24
2024-02-14,25
2024-02-19,21
2024-02-26,21
2024-03-04,26
2024-03-11,24
2024-03-18,21
2024-03-25,18
