,PRIO3.SA,CCRO3.SA,MULT3.SA,BBAS3.SA,GMAT3.SA,RAIL3.SA,HYPE3.SA,PETR3.SA,KLBN11.SA,LREN3.SA,UGPA3.SA,EGIE3.SA,PETR4.SA,SLCE3.SA,CBAV3.SA,SUZB3.SA,ABEV3.SA,VAMO3.SA,ITUB4.SA,BEEF3.SA,AZZA3.SA,ITSA4.SA,RECV3.SA,STBP3.SA,CMIG4.SA,CPFE3.SA,GOAU4.SA,ISAE4.SA,IGTI11.SA,GGBR4.SA,VIVT3.SA,ENGI11.SA,COGN3.SA,DIRR3.SA,ECOR3.SA,YDUQ3.SA,BPAC11.SA,CYRE3.SA,BBSE3.SA,ENEV3.SA,RENT3.SA,MDIA3.SA,WEGE3.SA,EQTL3.SA,ELET6.SA,MRVE3.SA,ELET3.SA,BRAV3.SA,FLRY3.SA,ALOS3.SA,RAIZ4.SA,DXCO3.SA,TOTS3.SA,B3SA3.SA,CPLE6.SA,EMBR3.SA,CMIN3.SA,SMTO3.SA,CSAN3.SA,PSSA3.SA,VBBR3.SA,NTCO3.SA
2023-10-02,0.0385,,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,0.0385,,,,,,,0.0385,,,0.0385,0.0385,,,,,,,,0.0385,,,0.0385,0.0385,,0.0385,0.0385,0.0385,0.0385,,,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,,,,,,,
2023-10-09,0.0385,,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,0.0385,,,,,,,0.0385,,,0.0385,0.0385,,,,,,,,0.0385,,,0.0385,0.0385,,0.0385,0.0385,0.0385,0.0385,,,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,,,,,,,
2023-10-16,0.0385,,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,0.0385,,,,,,,0.0385,,,0.0385,0.0385,,,,,,,,0.0385,,,0.0385,0.0385,,0.0385,0.0385,0.0385,0.0385,,,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,,,,,,,
2023-10-23,0.0385,,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,0.0385,,,,,,,0.0385,,,0.0385,0.0385,,,,,,,,0.0385,,,0.0385,0.0385,,0.0385,0.0385,0.0385,0.0385,,,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,,,,,,,
2023-10-30,0.0400,,0.0400,0.0400,0.0400,0.0400,0.0400,,,,,0.0400,,,,,,,0.0400,,,0.0400,0.0400,,,,,,,,0.0400,,,0.0400,0.0400,,0.0400,0.0400,0.0400,0.0400,,,,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,,,,,,,,,,,
2023-11-06,0.0385,,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,0.0385,,,,,0.0385,,0.0385,,,0.0385,0.0385,,,,,,,,0.0385,,,0.0385,0.0385,,0.0385,0.0385,0.0385,0.0385,,,,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,,,,,,,,,,,
2023-11-13,0.0323,,0.0323,0.0323,0.0323,0.0323,0.0323,,,,0.0323,0.0323,,0.0323,,,0.0323,,0.0323,,0.0323,0.0323,,0.0323,0.0323,,,,,,0.0323,0.0323,,0.0323,0.0323,,0.0323,,0.0323,0.0323,,,,0.0323,,,,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,,,,,
2023-11-20,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,,,,0.0294,0.0294,,0.0294,,,0.0294,,0.0294,,0.0294,0.0294,,0.0294,0.0294,,,,,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,,0.0294,,0.0294,0.0294,,0.0294,,,,,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,
2023-11-27,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,,,,0.0294,0.0294,,0.0294,,,0.0294,,0.0294,,0.0294,0.0294,,0.0294,0.0294,,,,,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,,0.0294,,0.0294,0.0294,,0.0294,,,,,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,
2023-12-04,0.0294,,0.0294,0.0294,0.0294,0.0294,0.0294,,,,0.0294,0.0294,,0.0294,,,0.0294,,0.0294,,0.0294,0.0294,,0.0294,0.0294,,,,,,0.0294,0.0294,,0.0294,0.0294,0.0294,0.0294,,0.0294,,0.0294,0.0294,,0.0294,,,,,0.0294,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,
