,CMIN3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,VIVT3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,RENT3.SA,GMAT3.SA,HYPE3.SA,KLBN11.SA,USIM5.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,ELET3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,AZZA3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,MDIA3.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,DIRR3.SA,BPAC11.SA,COGN3.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,IGTI11.SA,ENEV3.SA,BRAV3.SA,LWSA3.SA,RADL3.SA,ELET6.SA,CVCB3.SA,SBSP3.SA,RAIL3.SA,TOTS3.SA,CASH3.SA,BHIA3.SA,MGLU3.SA,NTCO3.SA
2023-05-29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0455,0.0000,,0.1507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0611,0.0000,0.0000,,0.0000,,0.0000,0.0260,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0476,0.0000,,0.0000,0.0000,0.0000,,,,,0.0048,0.0000,,0.0000,0.0752,0.0000,0.0000,0.1181,0.0000,0.0000,0.0000,0.2044,0.0000,0.0000,0.0000,0.0417,0.0391,0.0000,0.0000,0.1857,0.0000,0.0000,,,,,,,,,,,,,,
2023-06-05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0000,,0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0594,0.0000,0.0000,,0.0000,,0.0000,0.0073,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0574,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,,0.0000,0.0657,0.0000,0.0000,0.1461,0.0000,0.0000,0.0000,0.2465,0.0000,0.0000,0.0000,0.0463,0.0489,0.0000,0.0000,0.1780,0.0000,0.0000,,,,,,,,,,,,,,
2023-06-12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,0.0000,,0.1528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0637,0.0000,0.0000,,0.0000,,0.0000,0.0271,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0533,0.0000,,0.0000,0.0000,0.0000,,,,,0.0008,0.0000,,0.0000,0.0547,0.0000,0.0000,0.1465,0.0000,0.0000,0.0000,0.2386,0.0000,0.0000,0.0000,0.0424,0.0472,0.0000,0.0000,0.1628,0.0000,0.0000,,,,,,,,,,,,,,
2023-06-19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,,0.1518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0643,0.0000,0.0000,,0.0000,,0.0000,0.0331,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0507,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,,0.0000,0.0523,0.0000,0.0000,0.1487,0.0000,0.0000,0.0000,0.2503,0.0000,0.0000,0.0000,0.0390,0.0446,0.0000,0.0000,0.1502,0.0000,0.0000,,,,,,,,,,,,,,
2023-06-26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0319,0.0000,,0.1547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0731,0.0000,0.0000,,0.0000,,0.0000,0.0440,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0404,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,,0.0000,0.0570,0.0000,0.0000,0.1294,0.0000,0.0000,0.0000,0.2433,0.0000,0.0000,0.0000,0.0411,0.0400,0.0000,0.0000,0.1451,0.0000,0.0000,,,,,,,,,,,,,,
2023-07-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0229,0.0000,,0.1449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0691,0.0000,0.0000,,0.0000,,0.0000,0.0344,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0484,0.0000,,0.0000,0.0000,0.0000,,,,,0.0019,0.0000,,0.0000,0.0670,0.0000,0.0000,0.1330,0.0000,0.0000,0.0000,0.2464,0.0000,0.0000,0.0000,0.0374,0.0456,0.0000,0.0000,0.1490,0.0000,0.0000,,,,,,,,,,,,,,
2023-07-10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0236,0.0000,,0.1432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0766,0.0000,0.0000,,0.0000,,0.0000,0.0318,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0467,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,,0.0000,0.0774,0.0000,0.0000,0.1364,0.0000,0.0000,0.0000,0.2273,0.0000,0.0000,0.0000,0.0345,0.0446,0.0000,0.0000,0.1577,0.0000,0.0000,,,,,,,,,,,,,,
2023-07-17,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,,0.1148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0759,0.0000,0.0000,,0.0000,,0.0000,0.0199,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0441,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,,0.0000,0.0885,0.0000,0.0000,0.1488,0.0000,0.0000,0.0000,0.2576,0.0000,0.0000,0.0000,0.0388,0.0496,0.0000,0.0000,0.1519,0.0000,0.0000,,,,,,,,,,,,,,
2023-07-24,0.0000,0.0000,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0000,,0.1241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0775,0.0000,0.0000,,0.0000,,0.0000,0.0305,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0418,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,,0.0000,0.0820,0.0000,0.0000,0.1509,0.0000,0.0000,0.0000,0.2487,0.0000,0.0000,0.0000,0.0371,0.0487,0.0000,0.0000,0.1506,0.0000,0.0000,,,,,,,,,,,,,,
2023-07-31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0114,0.0000,,0.1241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0837,0.0000,0.0000,,0.0000,,0.0000,0.0360,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0397,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,,0.0000,0.0804,0.0000,0.0000,0.1537,0.0000,0.0000,0.0000,0.2351,0.0000,0.0032,0.0000,0.0297,0.0523,0.0000,0.0000,0.1508,0.0000,0.0000,,,,,,,,,,,,,,
