,turnover
2023-03-20,0.0000
2023-03-27,0.1083
2023-04-03,0.5291
2023-04-10,0.0931
2023-04-17,0.1182
2023-04-24,0.0812
2023-05-02,0.2413
2023-05-08,0.1134
2023-05-15,0.3392
2023-05-22,0.8118
2023-05-29,0.1373
2023-06-05,0.1704
2023-06-12,0.8633
2023-06-19,0.0510
2023-06-26,0.0373
2023-07-03,0.0702
2023-07-10,0.0408
2023-07-17,0.0761
2023-07-24,0.0187
2023-07-31,0.1238
2023-08-07,0.7362
2023-08-14,0.1652
2023-08-21,0.2679
2023-08-28,0.0541
2023-09-04,0.0813
2023-09-11,0.0719
2023-09-18,0.1239
2023-09-25,0.0346
2023-10-02,0.1568
2023-10-09,0.2424
2023-10-16,0.1217
2023-10-23,0.1410
2023-10-30,0.1282
2023-11-06,0.0469
2023-11-13,0.3122
2023-11-20,0.3349
2023-11-27,0.1382
2023-12-04,0.0935
2023-12-11,0.0443
2023-12-18,0.0583
2023-12-26,0.0360
2024-01-02,0.0249
2024-01-08,0.1210
2024-01-15,0.0780
2024-01-22,0.0893
2024-01-29,0.0973
2024-02-05,0.0288
2024-02-14,0.0228
2024-02-19,0.0335
2024-02-26,0.2890
2024-03-04,0.0559
2024-03-11,0.3093
2024-03-18,0.2883
2024-03-25,0.1942
