,turnover
2023-03-20,0.0000
2023-03-27,0.1612
2023-04-03,0.0800
2023-04-10,0.0229
2023-04-17,0.0267
2023-04-24,0.0233
2023-05-02,0.2063
2023-05-08,0.0398
2023-05-15,0.3795
2023-05-22,0.0473
2023-05-29,0.0235
2023-06-05,0.0223
2023-06-12,0.0508
2023-06-19,0.0244
2023-06-26,0.0227
2023-07-03,0.0213
2023-07-10,0.0154
2023-07-17,0.0225
2023-07-24,0.0240
2023-07-31,0.0210
2023-08-07,0.0256
2023-08-14,0.0495
2023-08-21,0.0459
2023-08-28,0.0171
2023-09-04,0.0224
2023-09-11,0.0221
2023-09-18,0.0162
2023-09-25,0.0208
2023-10-02,0.0109
2023-10-09,0.0221
2023-10-16,0.0221
2023-10-23,0.0148
2023-10-30,0.0228
2023-11-06,0.0250
2023-11-13,0.1508
2023-11-20,0.0782
2023-11-27,0.0191
2023-12-04,0.0211
2023-12-11,0.0114
2023-12-18,0.0171
2023-12-26,0.0186
2024-01-02,0.0100
2024-01-08,0.0140
2024-01-15,0.0267
2024-01-22,0.0169
2024-01-29,0.0287
2024-02-05,0.0180
2024-02-14,0.0473
2024-02-19,0.0198
2024-02-26,0.0212
2024-03-04,0.0283
2024-03-11,0.0457
2024-03-18,0.0371
2024-03-25,0.0187
