,turnover
2023-03-20,0.0000
2023-03-27,0.1470
2023-04-03,0.0630
2023-04-10,0.0191
2023-04-17,0.0300
2023-04-24,0.0236
2023-05-02,0.0902
2023-05-08,0.0330
2023-05-15,0.0944
2023-05-22,0.0310
2023-05-29,0.0204
2023-06-05,0.0194
2023-06-12,0.0555
2023-06-19,0.0240
2023-06-26,0.0238
2023-07-03,0.0332
2023-07-10,0.0139
2023-07-17,0.0217
2023-07-24,0.0174
2023-07-31,0.0195
2023-08-07,0.0489
2023-08-14,0.1516
2023-08-21,0.0364
2023-08-28,0.0175
2023-09-04,0.0227
2023-09-11,0.0196
2023-09-18,0.0145
2023-09-25,0.0195
2023-10-02,0.0113
2023-10-09,0.0219
2023-10-16,0.0202
2023-10-23,0.0134
2023-10-30,0.0276
2023-11-06,0.0208
2023-11-13,0.0822
2023-11-20,0.0691
2023-11-27,0.0179
2023-12-04,0.0209
2023-12-11,0.0151
2023-12-18,0.0221
2023-12-26,0.0190
2024-01-02,0.0569
2024-01-08,0.0144
2024-01-15,0.0251
2024-01-22,0.0175
2024-01-29,0.0288
2024-02-05,0.0219
2024-02-14,0.0356
2024-02-19,0.0197
2024-02-26,0.0223
2024-03-04,0.0494
2024-03-11,0.0449
2024-03-18,0.0300
2024-03-25,0.0208
