,turnover
2023-03-20,0.0000
2023-03-27,0.5610
2023-04-03,0.2208
2023-04-10,0.0765
2023-04-17,0.2018
2023-04-24,0.0930
2023-05-02,0.2132
2023-05-08,0.1676
2023-05-15,0.6490
2023-05-22,0.1841
2023-05-29,0.0488
2023-06-05,0.1320
2023-06-12,0.0889
2023-06-19,0.0931
2023-06-26,0.0557
2023-07-03,0.1083
2023-07-10,0.0449
2023-07-17,0.1068
2023-07-24,0.0302
2023-07-31,0.0622
2023-08-07,0.3811
2023-08-14,0.1535
2023-08-21,0.0978
2023-08-28,0.0321
2023-09-04,0.0174
2023-09-11,0.0995
2023-09-18,0.1013
2023-09-25,0.0383
2023-10-02,0.0969
2023-10-09,0.0666
2023-10-16,0.0389
2023-10-23,0.1156
2023-10-30,0.4781
2023-11-06,0.2399
2023-11-13,0.2455
2023-11-20,0.2771
2023-11-27,0.0358
2023-12-04,0.0645
2023-12-11,0.1032
2023-12-18,0.1299
2023-12-26,0.0531
2024-01-02,0.1094
2024-01-08,0.2119
2024-01-15,0.2046
2024-01-22,0.1336
2024-01-29,0.1286
2024-02-05,0.2130
2024-02-14,0.1467
2024-02-19,0.0746
2024-02-26,0.0441
2024-03-04,0.8232
2024-03-11,0.0250
2024-03-18,0.1896
2024-03-25,0.0398
