,ABEV3.SA,ALPA4.SA,AZUL4.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,CBAV3.SA,CMIN3.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENGI11.SA,FLRY3.SA,GGBR4.SA,GMAT3.SA,GOAU4.SA,HYPE3.SA,ISAE4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,MULT3.SA,PCAR3.SA,PETZ3.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIZ4.SA,RENT3.SA,SLCE3.SA,SMTO3.SA,TAEE11.SA,TOTS3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA,BRKM5.SA,CPLE6.SA,ENEV3.SA,ITSA4.SA,JBSS3.SA,MDIA3.SA,SIMH3.SA,STBP3.SA,VBBR3.SA,CMIG4.SA,CPFE3.SA,EQTL3.SA,EZTC3.SA,QUAL3.SA,RDOR3.SA,BRAV3.SA,GOLL4.SA,SANB11.SA,SUZB3.SA,CCRO3.SA,EGIE3.SA,RAIL3.SA,UGPA3.SA,BPAC11.SA,COGN3.SA,DIRR3.SA,LWSA3.SA,PETR3.SA,PETR4.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,IGTI11.SA,BHIA3.SA,CASH3.SA,CVCB3.SA,SBSP3.SA,ALOS3.SA,BRFS3.SA,NTCO3.SA
2023-05-29,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0206,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0696,0.0000,0.1521,0.0000,0.0000,0.0000,0.0000,0.0143,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0389,0.0000,0.0000,0.0000,0.0000,0.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1321,0.0000,0.2036,0.0000,0.0000,0.0000,0.0000,0.0269,0.0000,0.0361,0.0000,0.1900,0.0000,0.0000,,,,,,,,
2023-06-05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0686,0.0000,0.1383,0.0000,0.0000,0.0000,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0397,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1525,0.0000,0.2264,0.0000,0.0000,0.0000,0.0000,0.0380,0.0000,0.0401,0.0000,0.1880,0.0000,0.0000,,,,,,,,
2023-06-12,0.0883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0883,0.0000,0.2769,0.0000,0.0000,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1730,0.0000,0.0904,0.0000,0.0000,0.0000,0.0000,0.0635,0.0000,0.0000,0.0000,0.1494,0.0000,0.0000,0.0000,,,,,,,
2023-06-19,0.0839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0870,0.0000,0.2666,0.0000,0.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1766,0.0000,0.1046,0.0000,0.0000,0.0000,0.0000,0.0632,0.0000,0.0000,0.0000,0.1461,0.0000,0.0000,0.0000,,,,,,,
2023-06-26,0.0880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0941,0.0000,0.2743,0.0000,0.0000,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0381,0.0000,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1725,0.0000,0.1039,0.0000,0.0000,0.0000,0.0000,0.0618,0.0000,0.0000,0.0000,0.1454,0.0000,0.0000,0.0000,,,,,,,
2023-07-03,0.0809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0907,0.0000,0.2601,0.0000,0.0000,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0367,0.0000,0.0000,0.0000,0.0000,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1711,0.0000,0.1014,0.0000,0.0000,0.0000,0.0000,0.0634,0.0000,0.0000,0.0000,0.1471,0.0000,0.0000,0.0000,,,,,,,
2023-07-10,0.0787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0945,0.0000,0.2538,0.0000,0.0000,0.0194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0387,0.0000,0.0000,0.0000,0.0000,0.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1749,0.0000,0.0916,0.0000,0.0000,0.0000,0.0000,0.0611,0.0000,0.0000,0.0000,0.1524,0.0000,0.0000,0.0000,,,,,,,
2023-07-17,0.0590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0175,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0924,0.0000,0.2278,0.0000,0.0000,0.0339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0430,0.0000,0.0000,0.0000,0.0000,0.0274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1731,0.0000,0.1074,0.0000,0.0000,0.0000,0.0000,0.0678,0.0000,0.0000,0.0000,0.1508,0.0000,0.0000,0.0000,,,,,,,
2023-07-24,0.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0934,0.0000,0.2368,0.0000,0.0000,0.0318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0405,0.0000,0.0000,0.0000,0.0000,0.0220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1727,0.0000,0.1071,0.0000,0.0000,0.0000,0.0000,0.0663,0.0000,0.0000,0.0000,0.1461,0.0000,0.0000,0.0000,,,,,,,
2023-07-31,0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0938,0.0000,0.2420,0.0000,0.0000,0.0293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0366,0.0000,0.0000,0.0000,0.0000,0.0195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1766,0.0000,0.1072,0.0000,0.0000,0.0000,0.0000,0.0659,0.0000,0.0000,0.0000,0.1416,0.0000,0.0000,0.0000,,,,,,,
