,turnover
2023-03-20,0.0000
2023-03-27,0.1060
2023-04-03,0.5294
2023-04-10,0.0913
2023-04-17,0.1196
2023-04-24,0.0786
2023-05-02,0.2480
2023-05-08,0.1063
2023-05-15,0.3528
2023-05-22,0.7102
2023-05-29,0.1219
2023-06-05,0.2107
2023-06-12,1.0125
2023-06-19,0.0429
2023-06-26,0.0601
2023-07-03,0.0514
2023-07-10,0.0351
2023-07-17,0.0432
2023-07-24,0.0275
2023-07-31,0.1340
2023-08-07,0.4275
2023-08-14,0.2244
2023-08-21,0.2268
2023-08-28,0.0726
2023-09-04,0.0771
2023-09-11,0.0878
2023-09-18,0.1452
2023-09-25,0.0631
2023-10-02,0.1371
2023-10-09,0.1843
2023-10-16,0.1389
2023-10-23,0.1352
2023-10-30,0.1197
2023-11-06,0.0462
2023-11-13,0.2276
2023-11-20,0.3740
2023-11-27,0.1194
2023-12-04,0.0791
2023-12-11,0.0765
2023-12-18,0.0296
2023-12-26,0.0144
2024-01-02,0.0241
2024-01-08,0.1235
2024-01-15,0.0493
2024-01-22,0.1017
2024-01-29,0.1239
2024-02-05,0.0325
2024-02-14,0.0332
2024-02-19,0.0398
2024-02-26,0.2934
2024-03-04,0.0435
2024-03-11,0.3140
2024-03-18,0.2227
2024-03-25,0.1952
