,n_posicoes
2023-03-20,40
2023-03-27,48
2023-04-03,53
2023-04-10,53
2023-04-17,53
2023-04-24,53
2023-05-02,55
2023-05-08,55
2023-05-15,58
2023-05-22,58
2023-05-29,58
2023-06-05,58
2023-06-12,58
2023-06-19,58
2023-06-26,58
2023-07-03,58
2023-07-10,58
2023-07-17,58
2023-07-24,58
2023-07-31,58
2023-08-07,59
2023-08-14,65
2023-08-21,62
2023-08-28,62
2023-09-04,62
2023-09-11,62
2023-09-18,62
2023-09-25,62
2023-10-02,62
2023-10-09,62
2023-10-16,62
2023-10-23,62
2023-10-30,62
2023-11-06,61
2023-11-13,69
2023-11-20,68
2023-11-27,68
2023-12-04,68
2023-12-11,68
2023-12-18,68
2023-12-26,68
2024-01-02,68
2024-01-08,68
2024-01-15,68
2024-01-22,68
2024-01-29,68
2024-02-05,68
2024-02-14,69
2024-02-19,69
2024-02-26,66
2024-03-04,65
2024-03-11,66
2024-03-18,66
2024-03-25,66
