,turnover
2023-03-20,0.0000
2023-03-27,0.1564
2023-04-03,0.8294
2023-04-10,0.1526
2023-04-17,0.1487
2023-04-24,0.0943
2023-05-02,0.6303
2023-05-08,0.2784
2023-05-15,0.6867
2023-05-22,0.5241
2023-05-29,0.0669
2023-06-05,0.1050
2023-06-12,0.0890
2023-06-19,0.0527
2023-06-26,0.0506
2023-07-03,0.0680
2023-07-10,0.0948
2023-07-17,0.1188
2023-07-24,0.0531
2023-07-31,0.0474
2023-08-07,0.5207
2023-08-14,0.3196
2023-08-21,0.1052
2023-08-28,0.0133
2023-09-04,0.0261
2023-09-11,0.1265
2023-09-18,0.1389
2023-09-25,0.0394
2023-10-02,0.1007
2023-10-09,0.0657
2023-10-16,0.0382
2023-10-23,0.0714
2023-10-30,0.0772
2023-11-06,0.1926
2023-11-13,0.1141
2023-11-20,0.1346
2023-11-27,0.0613
2023-12-04,0.0870
2023-12-11,0.0633
2023-12-18,0.1223
2023-12-26,0.0831
2024-01-02,0.0231
2024-01-08,0.1595
2024-01-15,0.1188
2024-01-22,0.1389
2024-01-29,0.1074
2024-02-05,0.0917
2024-02-14,0.0562
2024-02-19,0.0521
2024-02-26,0.0526
2024-03-04,0.0425
2024-03-11,0.0948
2024-03-18,0.1413
2024-03-25,0.0510
