,turnover
2023-03-20,0.0000
2023-03-27,0.1848
2023-04-03,0.0709
2023-04-10,0.0221
2023-04-17,0.0291
2023-04-24,0.0216
2023-05-02,0.2668
2023-05-08,0.0348
2023-05-15,0.4988
2023-05-22,0.0446
2023-05-29,0.0213
2023-06-05,0.0190
2023-06-12,0.0562
2023-06-19,0.0245
2023-06-26,0.0240
2023-07-03,0.0219
2023-07-10,0.0152
2023-07-17,0.0232
2023-07-24,0.0180
2023-07-31,0.0306
2023-08-07,0.0886
2023-08-14,0.0592
2023-08-21,0.0591
2023-08-28,0.0168
2023-09-04,0.0246
2023-09-11,0.0236
2023-09-18,0.0138
2023-09-25,0.0211
2023-10-02,0.0120
2023-10-09,0.0212
2023-10-16,0.0218
2023-10-23,0.0157
2023-10-30,0.0225
2023-11-06,0.1623
2023-11-13,0.1589
2023-11-20,0.0879
2023-11-27,0.0165
2023-12-04,0.0204
2023-12-11,0.0116
2023-12-18,0.0169
2023-12-26,0.0192
2024-01-02,0.0099
2024-01-08,0.0134
2024-01-15,0.0254
2024-01-22,0.0174
2024-01-29,0.0304
2024-02-05,0.0177
2024-02-14,0.0350
2024-02-19,0.0186
2024-02-26,0.0247
2024-03-04,0.0321
2024-03-11,0.0509
2024-03-18,0.0773
2024-03-25,0.0256
