,n_posicoes
2023-03-20,19
2023-03-27,22
2023-04-03,24
2023-04-10,24
2023-04-17,24
2023-04-24,24
2023-05-02,21
2023-05-08,21
2023-05-15,23
2023-05-22,22
2023-05-29,22
2023-06-05,22
2023-06-12,22
2023-06-19,22
2023-06-26,22
2023-07-03,22
2023-07-10,22
2023-07-17,22
2023-07-24,22
2023-07-31,24
2023-08-07,21
2023-08-14,23
2023-08-21,24
2023-08-28,24
2023-09-04,24
2023-09-11,24
2023-09-18,24
2023-09-25,24
2023-10-02,24
2023-10-09,24
2023-10-16,24
2023-10-23,24
2023-10-30,24
2023-11-06,25
2023-11-13,29
2023-11-20,32
2023-11-27,32
2023-12-04,32
2023-12-11,32
2023-12-18,32
2023-12-26,32
2024-01-02,32
2024-01-08,32
2024-01-15,32
2024-01-22,32
2024-01-29,32
2024-02-05,32
2024-02-14,31
2024-02-19,31
2024-02-26,32
2024-03-04,32
2024-03-11,32
2024-03-18,33
2024-03-25,32
