,n_posicoes
2023-03-20,16
2023-03-27,14
2023-04-03,16
2023-04-10,15
2023-04-17,14
2023-04-24,20
2023-05-02,15
2023-05-08,13
2023-05-15,15
2023-05-22,15
2023-05-29,17
2023-06-05,15
2023-06-12,15
2023-06-19,14
2023-06-26,16
2023-07-03,18
2023-07-10,13
2023-07-17,15
2023-07-24,12
2023-07-31,17
2023-08-07,14
2023-08-14,14
2023-08-21,17
2023-08-28,15
2023-09-04,18
2023-09-11,15
2023-09-18,17
2023-09-25,12
2023-10-02,13
2023-10-09,18
2023-10-16,15
2023-10-23,17
2023-10-30,15
2023-11-06,19
2023-11-13,19
2023-11-20,19
2023-11-27,20
2023-12-04,25
2023-12-11,19
2023-12-18,25
2023-12-26,24
2024-01-02,23
2024-01-08,21
2024-01-15,20
2024-01-22,21
2024-01-29,20
2024-02-05,22
2024-02-14,21
2024-02-19,18
2024-02-26,20
2024-03-04,23
2024-03-11,23
2024-03-18,22
2024-03-25,21
