,n_posicoes
2023-03-20,17
2023-03-27,19
2023-04-03,21
2023-04-10,21
2023-04-17,21
2023-04-24,21
2023-05-02,18
2023-05-08,18
2023-05-15,18
2023-05-22,16
2023-05-29,16
2023-06-05,16
2023-06-12,16
2023-06-19,16
2023-06-26,16
2023-07-03,16
2023-07-10,16
2023-07-17,16
2023-07-24,16
2023-07-31,18
2023-08-07,16
2023-08-14,19
2023-08-21,20
2023-08-28,20
2023-09-04,20
2023-09-11,20
2023-09-18,20
2023-09-25,20
2023-10-02,20
2023-10-09,20
2023-10-16,20
2023-10-23,20
2023-10-30,20
2023-11-06,21
2023-11-13,23
2023-11-20,26
2023-11-27,26
2023-12-04,26
2023-12-11,26
2023-12-18,26
2023-12-26,26
2024-01-02,26
2024-01-08,26
2024-01-15,26
2024-01-22,26
2024-01-29,26
2024-02-05,26
2024-02-14,25
2024-02-19,25
2024-02-26,26
2024-03-04,26
2024-03-11,28
2024-03-18,29
2024-03-25,30
