,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,VIVT3.SA,MULT3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,KLBN11.SA,USIM5.SA,ELET6.SA,LREN3.SA,MDIA3.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,SMTO3.SA,PETR4.SA,B3SA3.SA,SLCE3.SA,BBDC4.SA,ELET3.SA,SUZB3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,TIMS3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,BRAP4.SA,CPFE3.SA,GOLL4.SA,SANB11.SA,BRKM5.SA,ALOS3.SA,RAIZ4.SA,COGN3.SA,DIRR3.SA,YDUQ3.SA,BPAC11.SA,IGTI11.SA,ENEV3.SA,MRVE3.SA,SBSP3.SA,RAIL3.SA,TOTS3.SA,EMBR3.SA,RENT3.SA,NTCO3.SA
2023-05-29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,0.0000,0.1683,0.0000,0.0000,0.0000,0.0000,0.0370,0.0497,0.0000,,,,0.0000,0.2752,0.0000,0.0000,0.0000,0.0000,0.0719,0.0000,,0.1340,0.0000,0.0000,,0.0419,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0417,0.0000,0.0502,,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0000,0.0881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,,,,,,,,,
2023-06-05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0000,0.1656,0.0000,0.0000,0.0000,0.0000,0.0404,0.0234,0.0000,,,,0.0000,0.3011,0.0000,0.0000,0.0000,0.0000,0.0690,0.0000,,0.1544,0.0000,0.0000,,0.0269,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0334,0.0000,0.0579,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0000,0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0389,0.0000,0.0000,,,,,,,,,
2023-06-12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0234,0.0000,0.1551,0.0000,0.0000,0.0000,0.0000,0.0331,0.0193,0.0000,,,,0.0000,0.3009,0.0000,0.0000,0.0017,0.0000,0.0733,0.0000,,0.1620,0.0000,0.0000,,0.0428,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0192,0.0000,0.0543,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0013,0.0744,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0392,0.0000,0.0000,,,,,,,,,
2023-06-19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0282,0.0000,0.1465,0.0000,0.0000,0.0000,0.0000,0.0168,,0.0000,,,,0.0000,0.3132,0.0000,0.0000,0.0121,0.0000,0.0728,0.0000,,0.1788,0.0000,0.0000,,0.0480,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0099,0.0000,0.0544,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0070,0.0720,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0402,0.0000,0.0000,,,,,,,,,
2023-06-26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0314,0.0000,0.1451,0.0000,0.0000,0.0000,0.0000,0.0226,,0.0000,,,,0.0000,0.3152,0.0000,0.0000,0.0086,0.0000,0.0799,0.0000,,0.1740,0.0000,0.0000,,0.0532,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0041,0.0000,0.0472,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0048,0.0767,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0372,0.0000,0.0000,,,,,,,,,
2023-07-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0330,0.0000,0.1460,0.0000,0.0000,0.0000,0.0000,0.0120,0.0299,0.0000,,,,0.0000,0.3032,0.0000,0.0000,0.0160,0.0000,0.0778,0.0000,,0.1499,0.0000,0.0000,,0.0488,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0074,0.0000,0.0503,,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0036,0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0410,0.0000,0.0000,,,,,,,,,
2023-07-10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0293,0.0000,0.1524,0.0000,0.0000,0.0000,0.0000,0.0099,0.0311,0.0000,,,,0.0000,0.2915,0.0000,0.0000,0.0159,0.0000,0.0828,0.0000,,0.1520,0.0000,0.0000,,0.0482,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0043,0.0000,0.0496,,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0036,0.0888,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0407,0.0000,0.0000,,,,,,,,,
2023-07-17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000,0.1504,0.0000,0.0000,0.0000,0.0000,0.0115,0.0175,0.0000,,,,0.0000,0.3087,0.0000,0.0000,0.0167,0.0000,0.0823,0.0000,,0.1610,0.0000,0.0000,,0.0404,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0177,0.0000,0.0489,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0021,0.0958,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0451,0.0000,0.0000,,,,,,,,,
2023-07-24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,0.0000,0.1505,0.0000,0.0000,0.0000,0.0000,0.0111,0.0144,0.0000,,,,0.0000,0.3041,0.0000,0.0000,0.0159,0.0000,0.0839,0.0000,,0.1634,0.0000,0.0000,,0.0487,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0143,0.0000,0.0483,,,0.0000,0.0000,0.0000,,,,0.0000,0.0000,,0.0033,0.0935,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0451,0.0000,0.0000,,,,,,,,,
2023-07-31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0088,0.0000,0.1481,0.0000,0.0000,0.0000,0.0000,0.0043,,0.0000,,,,0.0000,0.3010,0.0000,0.0000,0.0197,0.0000,0.0870,0.0000,,0.1780,0.0000,0.0000,,0.0569,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0072,0.0000,0.0466,,,0.0000,0.0000,0.0000,,,,0.0000,,,0.0059,0.0908,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0457,0.0000,0.0000,,,,,,,,,
