,turnover
2023-03-20,0.0000
2023-03-27,0.1528
2023-04-03,0.0940
2023-04-10,0.0143
2023-04-17,0.0259
2023-04-24,0.0178
2023-05-02,0.1374
2023-05-08,0.0180
2023-05-15,0.4613
2023-05-22,0.1443
2023-05-29,0.0132
2023-06-05,0.0202
2023-06-12,0.0351
2023-06-19,0.0302
2023-06-26,0.0241
2023-07-03,0.0156
2023-07-10,0.0138
2023-07-17,0.0164
2023-07-24,0.0239
2023-07-31,0.1096
2023-08-07,0.0610
2023-08-14,0.4956
2023-08-21,0.2408
2023-08-28,0.0170
2023-09-04,0.0121
2023-09-11,0.0121
2023-09-18,0.0164
2023-09-25,0.0120
2023-10-02,0.0168
2023-10-09,0.0197
2023-10-16,0.0127
2023-10-23,0.0109
2023-10-30,0.0150
2023-11-06,0.3521
2023-11-13,0.1609
2023-11-20,0.1809
2023-11-27,0.0202
2023-12-04,0.0171
2023-12-11,0.0124
2023-12-18,0.0187
2023-12-26,0.0188
2024-01-02,0.0089
2024-01-08,0.0130
2024-01-15,0.0150
2024-01-22,0.0180
2024-01-29,0.0139
2024-02-05,0.0195
2024-02-14,0.0496
2024-02-19,0.0133
2024-02-26,0.0460
2024-03-04,0.1391
2024-03-11,0.0840
2024-03-18,0.0613
2024-03-25,0.0889
