,CMIN3.SA,PETZ3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,ALPA4.SA,VIVT3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,RENT3.SA,WEGE3.SA,GMAT3.SA,HYPE3.SA,KLBN11.SA,USIM5.SA,ELET6.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,TOTS3.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,ELET3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,MGLU3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,RADL3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,AZZA3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,MDIA3.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,DIRR3.SA,BPAC11.SA,COGN3.SA,BBSE3.SA,MRVE3.SA,ENEV3.SA,RECV3.SA,IGTI11.SA,BRAV3.SA,LWSA3.SA,CVCB3.SA,SBSP3.SA,RAIL3.SA,CASH3.SA,BHIA3.SA,EMBR3.SA,ALOS3.SA,NTCO3.SA
2023-05-29,0.0000,,0.0000,0.0000,0.0000,,0.0112,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0214,0.0000,0.0000,0.0000,0.1545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0016,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0385,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0675,0.0000,0.0000,0.1316,0.0000,0.0000,0.0000,0.2028,0.0000,0.0000,0.0000,0.0355,0.0270,0.0000,0.0000,0.1909,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-06-05,0.0000,,0.0000,0.0000,0.0000,,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0686,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0396,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0552,0.0000,0.0000,0.1525,0.0000,0.0000,0.0000,0.2267,0.0000,0.0000,0.0000,0.0403,0.0378,0.0000,0.0000,0.1882,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-06-12,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,0.2769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0884,0.0000,0.0000,0.0000,0.0226,,0.0000,,0.0884,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0356,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1729,0.0000,0.0000,0.0000,0.0902,0.0000,0.0000,0.0000,0.0000,0.0635,0.0000,0.0000,0.1493,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-06-19,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,0.2667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0869,0.0000,0.0000,0.0000,0.0233,,0.0000,,0.0840,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0353,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1766,0.0000,0.0000,0.0000,0.1043,0.0000,0.0000,0.0000,0.0000,0.0632,0.0000,0.0000,0.1462,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-06-26,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0940,0.0000,0.0000,0.0000,0.0199,,0.0000,,0.0878,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0379,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0028,0.0000,0.0000,0.1722,0.0000,0.0000,0.0000,0.1043,0.0000,0.0000,0.0000,0.0000,0.0619,0.0000,0.0000,0.1452,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-07-03,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0159,0.0000,0.0000,0.0000,0.0000,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0907,0.0000,0.0000,0.0000,0.0169,,0.0000,,0.0809,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0363,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,0.0000,0.0000,0.1713,0.0000,0.0000,0.0000,0.1011,0.0000,0.0000,0.0000,0.0000,0.0636,0.0000,0.0000,0.1473,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-07-10,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0152,0.0000,0.0000,0.0000,0.0000,0.2530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0947,0.0000,0.0000,0.0000,0.0198,,0.0000,,0.0789,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0388,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,0.0000,0.0000,0.1745,0.0000,0.0000,0.0000,0.0919,0.0000,0.0000,0.0000,0.0000,0.0608,0.0000,0.0000,0.1528,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-07-17,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,0.0000,0.0000,0.0000,0.0000,0.2279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0924,0.0000,0.0000,0.0000,0.0339,,0.0000,,0.0590,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0430,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0275,0.0000,0.0000,0.1730,0.0000,0.0000,0.0000,0.1073,0.0000,0.0000,0.0000,0.0000,0.0677,0.0000,0.0000,0.1508,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-07-24,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,0.0000,0.0000,0.0000,0.0000,0.2368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0934,0.0000,0.0000,0.0000,0.0317,,0.0000,,0.0721,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0219,0.0000,0.0000,0.1728,0.0000,0.0000,0.0000,0.1069,0.0000,0.0000,0.0000,0.0000,0.0663,0.0000,0.0000,0.1463,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-07-31,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,0.2420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0938,0.0000,0.0000,0.0000,0.0293,,0.0000,,0.0810,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0366,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0196,0.0000,0.0000,0.1766,0.0000,0.0000,0.0000,0.1071,0.0000,0.0000,0.0000,0.0000,0.0659,0.0000,0.0000,0.1416,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
