,turnover
2023-03-20,0.0000
2023-03-27,0.4942
2023-04-03,0.1974
2023-04-10,0.0974
2023-04-17,0.1678
2023-04-24,0.1089
2023-05-02,0.2078
2023-05-08,0.1964
2023-05-15,0.6133
2023-05-22,0.1638
2023-05-29,0.0725
2023-06-05,0.1331
2023-06-12,0.4967
2023-06-19,0.0714
2023-06-26,0.0632
2023-07-03,0.0416
2023-07-10,0.0301
2023-07-17,0.0737
2023-07-24,0.0316
2023-07-31,0.0737
2023-08-07,0.0812
2023-08-14,0.1507
2023-08-21,0.0999
2023-08-28,0.0251
2023-09-04,0.0185
2023-09-11,0.0992
2023-09-18,0.1131
2023-09-25,0.0415
2023-10-02,0.0942
2023-10-09,0.0672
2023-10-16,0.0373
2023-10-23,0.0968
2023-10-30,0.5371
2023-11-06,0.2134
2023-11-13,0.1885
2023-11-20,0.2465
2023-11-27,0.0273
2023-12-04,0.0603
2023-12-11,0.0204
2023-12-18,0.1465
2023-12-26,0.0357
2024-01-02,0.0211
2024-01-08,0.1973
2024-01-15,0.1939
2024-01-22,0.1411
2024-01-29,0.1293
2024-02-05,0.1173
2024-02-14,0.7367
2024-02-19,0.0680
2024-02-26,0.0522
2024-03-04,0.5978
2024-03-11,0.0234
2024-03-18,0.1278
2024-03-25,0.0360
