,n_posicoes
2023-03-20,47
2023-03-27,57
2023-04-03,61
2023-04-10,62
2023-04-17,62
2023-04-24,62
2023-05-02,60
2023-05-08,60
2023-05-15,65
2023-05-22,63
2023-05-29,62
2023-06-05,62
2023-06-12,60
2023-06-19,60
2023-06-26,60
2023-07-03,60
2023-07-10,60
2023-07-17,60
2023-07-24,60
2023-07-31,60
2023-08-07,62
2023-08-14,64
2023-08-21,64
2023-08-28,64
2023-09-04,64
2023-09-11,65
2023-09-18,64
2023-09-25,65
2023-10-02,66
2023-10-09,66
2023-10-16,66
2023-10-23,66
2023-10-30,63
2023-11-06,64
2023-11-13,63
2023-11-20,63
2023-11-27,63
2023-12-04,63
2023-12-11,63
2023-12-18,63
2023-12-26,62
2024-01-02,63
2024-01-08,63
2024-01-15,63
2024-01-22,63
2024-01-29,63
2024-02-05,63
2024-02-14,66
2024-02-19,66
2024-02-26,63
2024-03-04,65
2024-03-11,65
2024-03-18,65
2024-03-25,65
