,n_posicoes
2023-03-20,27
2023-03-27,36
2023-04-03,34
2023-04-10,34
2023-04-17,36
2023-04-24,34
2023-05-02,41
2023-05-08,39
2023-05-15,45
2023-05-22,37
2023-05-29,41
2023-06-05,38
2023-06-12,44
2023-06-19,43
2023-06-26,41
2023-07-03,37
2023-07-10,45
2023-07-17,48
2023-07-24,52
2023-07-31,41
2023-08-07,47
2023-08-14,58
2023-08-21,37
2023-08-28,44
2023-09-04,53
2023-09-11,41
2023-09-18,47
2023-09-25,51
2023-10-02,39
2023-10-09,36
2023-10-16,51
2023-10-23,51
2023-10-30,45
2023-11-06,41
2023-11-13,53
2023-11-20,43
2023-11-27,40
2023-12-04,38
2023-12-11,41
2023-12-18,38
2023-12-26,44
2024-01-02,44
2024-01-08,46
2024-01-15,54
2024-01-22,44
2024-01-29,48
2024-02-05,46
2024-02-14,46
2024-02-19,43
2024-02-26,46
2024-03-04,37
2024-03-11,37
2024-03-18,53
2024-03-25,53
