,CMIN3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,USIM5.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,VALE3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,BEEF3.SA,CSAN3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,VBBR3.SA,JBSS3.SA,EZTC3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,BPAC11.SA,CPLE6.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,ECOR3.SA,IGTI11.SA,EQTL3.SA,ENEV3.SA,MDIA3.SA,DIRR3.SA,VIVT3.SA,ELET6.SA,BRAV3.SA,CVCB3.SA,TOTS3.SA,ELET3.SA,AZZA3.SA,BHIA3.SA,FLRY3.SA,RENT3.SA,PSSA3.SA,NTCO3.SA
2023-05-29,0.0000,0.0000,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,,0.0299,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0481,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0722,0.0000,0.0000,0.1392,0.0000,0.0000,0.0000,0.2330,0.0000,0.0000,0.0000,0.0532,0.0000,0.0156,0.1905,0.0000,0.0000,,,,,,,,,,,,,,,,,,
2023-06-05,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,,0.0155,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0568,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0616,0.0000,0.0000,0.1407,0.0000,0.0000,0.0000,0.2669,0.0000,0.0000,0.0000,0.0589,0.0000,0.0172,0.1842,0.0000,0.0000,,,,,,,,,,,,,,,,,,
2023-06-12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0634,0.0000,0.0000,0.0000,,0.0349,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0542,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0517,0.0000,0.0000,0.1409,0.0000,0.0000,0.0000,0.2584,0.0000,0.0000,0.0000,0.0566,0.0000,0.0194,0.1691,0.0000,0.0000,,,,,,,,,,,,,,,,,,
2023-06-19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0656,0.0000,0.0000,0.0000,,0.0416,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0514,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0511,0.0000,0.0000,0.1472,0.0000,0.0000,0.0000,0.2694,0.0000,0.0000,0.0000,0.0531,0.0000,0.0121,0.1572,0.0000,0.0000,,,,,,,,,,,,,,,,,,
2023-06-26,0.0000,0.0000,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0721,0.0000,0.0000,0.0000,,0.0493,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0419,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0572,0.0000,0.0000,0.1426,0.0000,0.0000,0.0000,0.2685,0.0000,0.0000,0.0000,0.0517,0.0000,0.0099,0.1506,0.0000,0.0000,,,,,,,,,,,,,,,,,,
2023-07-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0676,0.0000,0.0000,0.0000,,0.0392,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0512,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0647,0.0000,0.0000,0.1369,0.0000,0.0000,0.0000,0.2733,0.0000,0.0000,0.0000,0.0503,0.0000,0.0187,0.1541,0.0000,0.0000,,,,,,,,,,,,,,,,,,
2023-07-10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0777,0.0000,0.0000,0.0000,,0.0377,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0490,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0802,0.0000,0.0000,0.1428,0.0000,0.0000,0.0000,0.2497,0.0000,0.0000,0.0000,0.0475,0.0000,0.0060,0.1662,0.0039,0.0000,,,,,,,,,,,,,,,,,,
2023-07-17,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0707,0.0000,0.0000,0.0000,,0.0294,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0420,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0859,0.0000,0.0000,0.1415,0.0000,0.0000,0.0000,0.2852,0.0000,0.0000,0.0000,0.0465,0.0000,0.0094,0.1554,0.0000,0.0000,,,,,,,,,,,,,,,,,,
2023-07-24,0.0000,0.0000,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0736,0.0000,0.0000,0.0000,,0.0412,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0395,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0813,0.0000,0.0000,0.1410,0.0000,0.0000,0.0000,0.2729,0.0000,0.0000,0.0000,0.0448,0.0000,0.0048,0.1550,0.0013,0.0000,,,,,,,,,,,,,,,,,,
2023-07-31,0.0000,0.0000,0.0132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.1291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0801,0.0000,0.0000,0.0000,0.0000,0.0429,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0372,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0807,0.0000,0.0000,0.1483,0.0000,0.0000,0.0000,0.2575,0.0000,0.0000,0.0000,0.0433,0.0000,0.0058,0.1586,0.0033,0.0000,,,,,,,,,,,,,,,,,,
