,turnover
2023-03-20,0.0000
2023-03-27,0.5424
2023-04-03,0.6668
2023-04-10,0.1732
2023-04-17,0.2265
2023-04-24,0.1306
2023-05-02,0.5763
2023-05-08,0.3102
2023-05-15,0.7004
2023-05-22,0.5782
2023-05-29,0.0739
2023-06-05,0.1883
2023-06-12,0.0894
2023-06-19,0.0505
2023-06-26,0.0924
2023-07-03,0.0721
2023-07-10,0.0617
2023-07-17,0.1297
2023-07-24,0.0535
2023-07-31,0.0593
2023-08-07,0.5718
2023-08-14,0.1399
2023-08-21,0.1109
2023-08-28,0.0454
2023-09-04,0.0244
2023-09-11,0.0885
2023-09-18,0.0915
2023-09-25,0.0288
2023-10-02,0.0644
2023-10-09,0.0550
2023-10-16,0.0385
2023-10-23,0.0704
2023-10-30,0.1036
2023-11-06,0.1210
2023-11-13,0.0692
2023-11-20,0.0394
2023-11-27,0.0637
2023-12-04,0.0783
2023-12-11,0.0687
2023-12-18,0.1388
2023-12-26,0.0938
2024-01-02,0.0191
2024-01-08,0.1640
2024-01-15,0.1541
2024-01-22,0.1292
2024-01-29,0.1233
2024-02-05,0.0914
2024-02-14,0.0586
2024-02-19,0.0679
2024-02-26,0.0866
2024-03-04,0.0805
2024-03-11,0.0720
2024-03-18,0.1192
2024-03-25,0.0485
