,retorno
2023-03-20,-0.0092
2023-03-27,0.0237
2023-04-03,0.0061
2023-04-10,0.0436
2023-04-17,-0.0201
2023-04-24,-0.0227
2023-05-02,0.0504
2023-05-08,0.0225
2023-05-15,0.0050
2023-05-22,0.0106
2023-05-29,0.0179
2023-06-05,0.0632
2023-06-12,0.0202
2023-06-19,-0.0012
2023-06-26,0.0027
2023-07-03,-0.0170
2023-07-10,0.0029
2023-07-17,0.0209
2023-07-24,0.0043
2023-07-31,-0.0253
2023-08-07,-0.0098
2023-08-14,-0.0096
2023-08-21,0.0271
2023-08-28,0.0006
2023-09-04,0.0018
2023-09-11,0.0167
2023-09-18,-0.0170
2023-09-25,-0.0056
2023-10-02,0.0102
2023-10-09,0.0193
2023-10-16,-0.0306
2023-10-23,-0.0001
2023-10-30,0.0428
2023-11-06,0.0136
2023-11-13,0.0384
2023-11-20,0.0001
2023-11-27,0.0094
2023-12-04,0.0022
2023-12-11,0.0339
2023-12-18,0.0216
2023-12-26,0.0001
2024-01-02,-0.0016
2024-01-08,-0.0046
2024-01-15,-0.0288
2024-01-22,0.0230
2024-01-29,0.0024
2024-02-05,-0.0092
2024-02-14,0.0215
2024-02-19,0.0008
2024-02-26,-0.0233
2024-03-04,-0.0271
2024-03-11,0.0034
2024-03-18,-0.0046
2024-03-25,0.0096
