,n_posicoes
2023-03-20,35
2023-03-27,43
2023-04-03,45
2023-04-10,44
2023-04-17,43
2023-04-24,44
2023-05-02,41
2023-05-08,41
2023-05-15,45
2023-05-22,41
2023-05-29,41
2023-06-05,39
2023-06-12,38
2023-06-19,38
2023-06-26,37
2023-07-03,37
2023-07-10,37
2023-07-17,39
2023-07-24,39
2023-07-31,41
2023-08-07,39
2023-08-14,44
2023-08-21,46
2023-08-28,44
2023-09-04,48
2023-09-11,48
2023-09-18,47
2023-09-25,48
2023-10-02,48
2023-10-09,48
2023-10-16,46
2023-10-23,49
2023-10-30,47
2023-11-06,48
2023-11-13,50
2023-11-20,50
2023-11-27,50
2023-12-04,50
2023-12-11,50
2023-12-18,49
2023-12-26,47
2024-01-02,50
2024-01-08,50
2024-01-15,48
2024-01-22,49
2024-01-29,50
2024-02-05,49
2024-02-14,47
2024-02-19,47
2024-02-26,47
2024-03-04,48
2024-03-11,48
2024-03-18,46
2024-03-25,48
