,n_posicoes
2023-03-20,29
2023-03-27,23
2023-04-03,30
2023-04-10,25
2023-04-17,30
2023-04-24,22
2023-05-02,19
2023-05-08,27
2023-05-15,27
2023-05-22,22
2023-05-29,19
2023-06-05,30
2023-06-12,20
2023-06-19,27
2023-06-26,21
2023-07-03,20
2023-07-10,24
2023-07-17,21
2023-07-24,26
2023-07-31,30
2023-08-07,26
2023-08-14,29
2023-08-21,25
2023-08-28,24
2023-09-04,30
2023-09-11,33
2023-09-18,30
2023-09-25,31
2023-10-02,34
2023-10-09,31
2023-10-16,33
2023-10-23,28
2023-10-30,30
2023-11-06,34
2023-11-13,42
2023-11-20,35
2023-11-27,31
2023-12-04,30
2023-12-11,32
2023-12-18,27
2023-12-26,27
2024-01-02,34
2024-01-08,34
2024-01-15,33
2024-01-22,35
2024-01-29,33
2024-02-05,29
2024-02-14,24
2024-02-19,27
2024-02-26,35
2024-03-04,35
2024-03-11,25
2024-03-18,28
2024-03-25,32
