,n_posicoes
2023-03-20,13
2023-03-27,25
2023-04-03,22
2023-04-10,24
2023-04-17,24
2023-04-24,22
2023-05-02,25
2023-05-08,25
2023-05-15,21
2023-05-22,25
2023-05-29,18
2023-06-05,26
2023-06-12,27
2023-06-19,27
2023-06-26,29
2023-07-03,30
2023-07-10,30
2023-07-17,24
2023-07-24,23
2023-07-31,30
2023-08-07,22
2023-08-14,24
2023-08-21,24
2023-08-28,23
2023-09-04,29
2023-09-11,23
2023-09-18,28
2023-09-25,28
2023-10-02,27
2023-10-09,26
2023-10-16,30
2023-10-23,23
2023-10-30,30
2023-11-06,24
2023-11-13,25
2023-11-20,28
2023-11-27,30
2023-12-04,34
2023-12-11,29
2023-12-18,30
2023-12-26,29
2024-01-02,31
2024-01-08,31
2024-01-15,35
2024-01-22,33
2024-01-29,27
2024-02-05,32
2024-02-14,29
2024-02-19,31
2024-02-26,28
2024-03-04,29
2024-03-11,26
2024-03-18,28
2024-03-25,25
