,n_posicoes
2023-03-20,27
2023-03-27,31
2023-04-03,35
2023-04-10,35
2023-04-17,35
2023-04-24,35
2023-05-02,36
2023-05-08,36
2023-05-15,39
2023-05-22,40
2023-05-29,40
2023-06-05,40
2023-06-12,40
2023-06-19,40
2023-06-26,40
2023-07-03,40
2023-07-10,40
2023-07-17,40
2023-07-24,40
2023-07-31,41
2023-08-07,40
2023-08-14,44
2023-08-21,42
2023-08-28,42
2023-09-04,42
2023-09-11,42
2023-09-18,42
2023-09-25,42
2023-10-02,42
2023-10-09,42
2023-10-16,42
2023-10-23,42
2023-10-30,43
2023-11-06,42
2023-11-13,46
2023-11-20,46
2023-11-27,46
2023-12-04,46
2023-12-11,46
2023-12-18,46
2023-12-26,46
2024-01-02,46
2024-01-08,46
2024-01-15,46
2024-01-22,46
2024-01-29,46
2024-02-05,46
2024-02-14,46
2024-02-19,46
2024-02-26,46
2024-03-04,47
2024-03-11,46
2024-03-18,46
2024-03-25,45
