,n_posicoes
2023-03-20,16
2023-03-27,15
2023-04-03,19
2023-04-10,16
2023-04-17,19
2023-04-24,18
2023-05-02,16
2023-05-08,14
2023-05-15,18
2023-05-22,17
2023-05-29,17
2023-06-05,17
2023-06-12,19
2023-06-19,18
2023-06-26,17
2023-07-03,20
2023-07-10,19
2023-07-17,20
2023-07-24,19
2023-07-31,16
2023-08-07,18
2023-08-14,18
2023-08-21,16
2023-08-28,17
2023-09-04,19
2023-09-11,14
2023-09-18,19
2023-09-25,16
2023-10-02,18
2023-10-09,20
2023-10-16,17
2023-10-23,17
2023-10-30,19
2023-11-06,19
2023-11-13,25
2023-11-20,25
2023-11-27,25
2023-12-04,25
2023-12-11,17
2023-12-18,28
2023-12-26,22
2024-01-02,24
2024-01-08,21
2024-01-15,20
2024-01-22,22
2024-01-29,25
2024-02-05,23
2024-02-14,22
2024-02-19,23
2024-02-26,23
2024-03-04,22
2024-03-11,22
2024-03-18,24
2024-03-25,24
