,n_posicoes
2023-03-20,17
2023-03-27,16
2023-04-03,19
2023-04-10,16
2023-04-17,20
2023-04-24,18
2023-05-02,19
2023-05-08,18
2023-05-15,16
2023-05-22,16
2023-05-29,19
2023-06-05,21
2023-06-12,17
2023-06-19,23
2023-06-26,17
2023-07-03,21
2023-07-10,22
2023-07-17,22
2023-07-24,20
2023-07-31,27
2023-08-07,16
2023-08-14,15
2023-08-21,19
2023-08-28,18
2023-09-04,17
2023-09-11,21
2023-09-18,16
2023-09-25,18
2023-10-02,18
2023-10-09,19
2023-10-16,17
2023-10-23,14
2023-10-30,19
2023-11-06,18
2023-11-13,23
2023-11-20,23
2023-11-27,25
2023-12-04,19
2023-12-11,27
2023-12-18,25
2023-12-26,26
2024-01-02,24
2024-01-08,26
2024-01-15,32
2024-01-22,19
2024-01-29,23
2024-02-05,23
2024-02-14,25
2024-02-19,23
2024-02-26,29
2024-03-04,27
2024-03-11,30
2024-03-18,24
2024-03-25,33
