,retorno
2023-03-20,0.0077
2023-03-27,0.0228
2023-04-03,0.0041
2023-04-10,0.0518
2023-04-17,-0.0049
2023-04-24,-0.0239
2023-05-02,0.0389
2023-05-08,0.0290
2023-05-15,0.0019
2023-05-22,0.0090
2023-05-29,-0.0035
2023-06-05,0.0344
2023-06-12,0.0145
2023-06-19,-0.0024
2023-06-26,0.0187
2023-07-03,-0.0121
2023-07-10,-0.0065
2023-07-17,0.0315
2023-07-24,-0.0033
2023-07-31,-0.0081
2023-08-07,-0.0187
2023-08-14,-0.0372
2023-08-21,0.0295
2023-08-28,-0.0149
2023-09-04,-0.0032
2023-09-11,0.0171
2023-09-18,-0.0142
2023-09-25,-0.0061
2023-10-02,0.0021
2023-10-09,0.0068
2023-10-16,-0.0188
2023-10-23,-0.0179
2023-10-30,0.0511
2023-11-06,0.0155
2023-11-13,0.0291
2023-11-20,-0.0016
2023-11-27,0.0218
2023-12-04,0.0078
2023-12-11,0.0308
2023-12-18,0.0185
2023-12-26,-0.0087
2024-01-02,0.0015
2024-01-08,-0.0049
2024-01-15,-0.0311
2024-01-22,0.0027
2024-01-29,0.0028
2024-02-05,0.0049
2024-02-14,0.0053
2024-02-19,0.0147
2024-02-26,-0.0144
2024-03-04,0.0051
2024-03-11,0.0045
2024-03-18,-0.0051
2024-03-25,-0.0086
