,retorno
2023-03-20,-0.0024
2023-03-27,0.0118
2023-04-03,0.0013
2023-04-10,0.0379
2023-04-17,-0.0281
2023-04-24,-0.0189
2023-05-02,0.0403
2023-05-08,0.0207
2023-05-15,0.0212
2023-05-22,0.0189
2023-05-29,0.0111
2023-06-05,0.0363
2023-06-12,0.0150
2023-06-19,-0.0027
2023-06-26,0.0225
2023-07-03,0.0007
2023-07-10,0.0020
2023-07-17,0.0350
2023-07-24,0.0054
2023-07-31,-0.0014
2023-08-07,-0.0200
2023-08-14,-0.0319
2023-08-21,0.0162
2023-08-28,-0.0109
2023-09-04,-0.0031
2023-09-11,0.0106
2023-09-18,-0.0302
2023-09-25,-0.0093
2023-10-02,-0.0056
2023-10-09,0.0080
2023-10-16,-0.0184
2023-10-23,-0.0244
2023-10-30,0.0542
2023-11-06,0.0174
2023-11-13,0.0381
2023-11-20,-0.0160
2023-11-27,0.0171
2023-12-04,0.0070
2023-12-11,0.0333
2023-12-18,0.0177
2023-12-26,-0.0158
2024-01-02,0.0070
2024-01-08,-0.0031
2024-01-15,-0.0361
2024-01-22,0.0081
2024-01-29,-0.0044
2024-02-05,-0.0006
2024-02-14,0.0079
2024-02-19,0.0060
2024-02-26,-0.0117
2024-03-04,0.0046
2024-03-11,-0.0010
2024-03-18,-0.0018
2024-03-25,-0.0057
