,retorno
2023-03-20,0.0039
2023-03-27,0.0316
2023-04-03,0.0074
2023-04-10,0.0558
2023-04-17,-0.0080
2023-04-24,-0.0295
2023-05-02,0.0501
2023-05-08,0.0303
2023-05-15,-0.0023
2023-05-22,0.0149
2023-05-29,0.0023
2023-06-05,0.0376
2023-06-12,0.0181
2023-06-19,0.0019
2023-06-26,0.0169
2023-07-03,-0.0087
2023-07-10,-0.0041
2023-07-17,0.0152
2023-07-24,-0.0042
2023-07-31,-0.0071
2023-08-07,-0.0178
2023-08-14,-0.0372
2023-08-21,0.0295
2023-08-28,-0.0149
2023-09-04,-0.0032
2023-09-11,0.0171
2023-09-18,-0.0142
2023-09-25,-0.0061
2023-10-02,0.0021
2023-10-09,0.0068
2023-10-16,-0.0188
2023-10-23,-0.0179
2023-10-30,0.0540
2023-11-06,0.0179
2023-11-13,0.0282
2023-11-20,-0.0042
2023-11-27,0.0239
2023-12-04,0.0084
2023-12-11,0.0305
2023-12-18,0.0185
2023-12-26,-0.0092
2024-01-02,0.0030
2024-01-08,0.0003
2024-01-15,-0.0308
2024-01-22,0.0036
2024-01-29,0.0051
2024-02-05,0.0039
2024-02-14,0.0064
2024-02-19,0.0059
2024-02-26,-0.0165
2024-03-04,0.0051
2024-03-11,0.0023
2024-03-18,-0.0083
2024-03-25,-0.0072
