,turnover
2023-03-20,0.0000
2023-03-27,0.2689
2023-04-03,0.2113
2023-04-10,0.1081
2023-04-17,0.1190
2023-04-24,0.0501
2023-05-02,0.0889
2023-05-08,0.1261
2023-05-15,0.4122
2023-05-22,0.1243
2023-05-29,0.0281
2023-06-05,0.0437
2023-06-12,0.0451
2023-06-19,0.0613
2023-06-26,0.0214
2023-07-03,0.0352
2023-07-10,0.0339
2023-07-17,0.0477
2023-07-24,0.0174
2023-07-31,0.0726
2023-08-07,0.0736
2023-08-14,0.1951
2023-08-21,0.0583
2023-08-28,0.0365
2023-09-04,0.0493
2023-09-11,0.0568
2023-09-18,0.1692
2023-09-25,0.0268
2023-10-02,0.0586
2023-10-09,0.2210
2023-10-16,0.0921
2023-10-23,0.1569
2023-10-30,0.3657
2023-11-06,0.0977
2023-11-13,0.2695
2023-11-20,0.2197
2023-11-27,0.0889
2023-12-04,0.0237
2023-12-11,0.1287
2023-12-18,0.3122
2023-12-26,0.2789
2024-01-02,0.2308
2024-01-08,0.1121
2024-01-15,0.0682
2024-01-22,0.1532
2024-01-29,0.3110
2024-02-05,0.1590
2024-02-14,0.0863
2024-02-19,0.0572
2024-02-26,0.0090
2024-03-04,0.6216
2024-03-11,0.3202
2024-03-18,0.3210
2024-03-25,0.0702
