,turnover
2023-03-20,0.0000
2023-03-27,0.2161
2023-04-03,0.0429
2023-04-10,0.0420
2023-04-17,0.0431
2023-04-24,0.0251
2023-05-02,0.1174
2023-05-08,0.0298
2023-05-15,0.1298
2023-05-22,0.0394
2023-05-29,0.0224
2023-06-05,0.0183
2023-06-12,0.0643
2023-06-19,0.0213
2023-06-26,0.0217
2023-07-03,0.0204
2023-07-10,0.0120
2023-07-17,0.0447
2023-07-24,0.0194
2023-07-31,0.1741
2023-08-07,0.0284
2023-08-14,0.2399
2023-08-21,0.1228
2023-08-28,0.0696
2023-09-04,0.1050
2023-09-11,0.0673
2023-09-18,0.0729
2023-09-25,0.1400
2023-10-02,0.0695
2023-10-09,0.0887
2023-10-16,0.1008
2023-10-23,0.2523
2023-10-30,0.1699
2023-11-06,0.0221
2023-11-13,0.1087
2023-11-20,0.0963
2023-11-27,0.0165
2023-12-04,0.0210
2023-12-11,0.0159
2023-12-18,0.1085
2023-12-26,0.1286
2024-01-02,0.1163
2024-01-08,0.0134
2024-01-15,0.0497
2024-01-22,0.0181
2024-01-29,0.0914
2024-02-05,0.0232
2024-02-14,0.0431
2024-02-19,0.0160
2024-02-26,0.0126
2024-03-04,0.0650
2024-03-11,0.1177
2024-03-18,0.0590
2024-03-25,0.0212
