,retorno
2023-03-20,-0.0100
2023-03-27,0.0231
2023-04-03,0.0092
2023-04-10,0.0380
2023-04-17,-0.0290
2023-04-24,-0.0125
2023-05-02,0.0540
2023-05-08,0.0200
2023-05-15,0.0284
2023-05-22,0.0046
2023-05-29,0.0230
2023-06-05,0.0290
2023-06-12,0.0256
2023-06-19,-0.0031
2023-06-26,0.0084
2023-07-03,-0.0035
2023-07-10,0.0074
2023-07-17,0.0291
2023-07-24,0.0116
2023-07-31,-0.0086
2023-08-07,-0.0129
2023-08-14,-0.0253
2023-08-21,0.0203
2023-08-28,0.0034
2023-09-04,-0.0100
2023-09-11,0.0104
2023-09-18,-0.0280
2023-09-25,-0.0101
2023-10-02,-0.0041
2023-10-09,0.0094
2023-10-16,-0.0265
2023-10-23,-0.0109
2023-10-30,0.0579
2023-11-06,0.0122
2023-11-13,0.0374
2023-11-20,-0.0121
2023-11-27,0.0242
2023-12-04,0.0055
2023-12-11,0.0334
2023-12-18,0.0201
2023-12-26,-0.0057
2024-01-02,-0.0005
2024-01-08,-0.0097
2024-01-15,-0.0269
2024-01-22,0.0157
2024-01-29,-0.0055
2024-02-05,-0.0120
2024-02-14,0.0195
2024-02-19,0.0072
2024-02-26,-0.0031
2024-03-04,-0.0098
2024-03-11,0.0040
2024-03-18,-0.0031
2024-03-25,0.0062
