,retorno
2023-03-20,-0.0069
2023-03-27,0.0275
2023-04-03,0.0049
2023-04-10,0.0454
2023-04-17,-0.0194
2023-04-24,-0.0265
2023-05-02,0.0536
2023-05-08,0.0240
2023-05-15,0.0045
2023-05-22,0.0104
2023-05-29,0.0202
2023-06-05,0.0626
2023-06-12,0.0212
2023-06-19,-0.0037
2023-06-26,0.0022
2023-07-03,-0.0164
2023-07-10,0.0047
2023-07-17,0.0209
2023-07-24,0.0074
2023-07-31,-0.0307
2023-08-07,-0.0013
2023-08-14,0.0002
2023-08-21,0.0315
2023-08-28,-0.0067
2023-09-04,0.0061
2023-09-11,0.0162
2023-09-18,-0.0153
2023-09-25,-0.0062
2023-10-02,0.0176
2023-10-09,0.0222
2023-10-16,-0.0274
2023-10-23,-0.0078
2023-10-30,0.0388
2023-11-06,0.0121
2023-11-13,0.0353
2023-11-20,-0.0015
2023-11-27,0.0078
2023-12-04,0.0001
2023-12-11,0.0371
2023-12-18,0.0279
2023-12-26,0.0019
2024-01-02,0.0005
2024-01-08,-0.0076
2024-01-15,-0.0305
2024-01-22,0.0329
2024-01-29,0.0027
2024-02-05,-0.0143
2024-02-14,0.0294
2024-02-19,-0.0024
2024-02-26,-0.0257
2024-03-04,-0.0351
2024-03-11,0.0066
2024-03-18,-0.0047
2024-03-25,0.0135
