,retorno
2023-03-20,-0.0013
2023-03-27,-0.0021
2023-04-03,0.0286
2023-04-10,0.0256
2023-04-17,-0.0070
2023-04-24,-0.0051
2023-05-02,0.0299
2023-05-08,0.0181
2023-05-15,-0.0049
2023-05-22,0.0075
2023-05-29,-0.0015
2023-06-05,0.0290
2023-06-12,0.0120
2023-06-19,-0.0113
2023-06-26,0.0110
2023-07-03,-0.0042
2023-07-10,-0.0038
2023-07-17,0.0181
2023-07-24,0.0081
2023-07-31,0.0112
2023-08-07,-0.0141
2023-08-14,-0.0145
2023-08-21,0.0091
2023-08-28,0.0032
2023-09-04,-0.0098
2023-09-11,0.0130
2023-09-18,0.0025
2023-09-25,-0.0144
2023-10-02,0.0034
2023-10-09,-0.0010
2023-10-16,-0.0312
2023-10-23,-0.0257
2023-10-30,0.0530
2023-11-06,0.0095
2023-11-13,0.0303
2023-11-20,0.0057
2023-11-27,0.0165
2023-12-04,0.0038
2023-12-11,0.0142
2023-12-18,0.0189
2023-12-26,-0.0076
2024-01-02,-0.0178
2024-01-08,-0.0064
2024-01-15,-0.0210
2024-01-22,0.0044
2024-01-29,0.0021
2024-02-05,-0.0073
2024-02-14,0.0053
2024-02-19,0.0072
2024-02-26,-0.0024
2024-03-04,0.0016
2024-03-11,0.0093
2024-03-18,-0.0074
2024-03-25,0.0111
